200,Ni-56,F,1.0E-01,3.38E-09,2.78E-09,1.49E-09,9.44E-10,5.84E-10,4.92E-10,5.83E-10
201,Ni-56,M,1.0E-01,4.96E-09,4.10E-09,2.33E-09,1.53E-09,1.08E-09,8.80E-10,1.01E-09
202,Ni-56,S,2.0E-02,5.58E-09,4.66E-09,2.69E-09,1.78E-09,1.29E-09,1.05E-09,1.20E-09
203,Ni-56,V,1.0E-01,6.97E-09,5.37E-09,3.26E-09,2.14E-09,1.49E-09,1.28E-09,1.46E-09
204,Ni-57,F,1.0E-01,2.29E-09,1.82E-09,9.18E-10,5.69E-10,3.23E-10,2.63E-10,3.24E-10
205,Ni-57,M,1.0E-01,3.80E-09,2.95E-09,1.52E-09,9.88E-10,6.43E-10,5.16E-10,6.13E-10
206,Ni-57,S,2.0E-02,4.11E-09,3.13E-09,1.61E-09,1.05E-09,6.89E-10,5.53E-10,6.57E-10
207,Ni-57,V,1.0E-01,3.38E-09,2.48E-09,1.47E-09,9.85E-10,7.00E-10,6.06E-10,6.85E-10
208,Ni-59,F,1.0E-01,9.44E-10,7.98E-10,4.44E-10,2.74E-10,1.91E-10,1.81E-10,2.02E-10
209,Ni-59,M,1.0E-01,7.71E-10,6.04E-10,3.38E-10,2.02E-10,1.42E-10,1.31E-10,1.48E-10
210,Ni-59,S,2.0E-02,1.63E-09,1.49E-09,9.34E-10,5.77E-10,4.56E-10,4.40E-10,4.76E-10
211,Ni-59,V,1.0E-01,3.90E-09,3.25E-09,1.98E-09,1.24E-09,8.91E-10,8.19E-10,9.13E-10
212,Ni-63,F,1.0E-01,2.34E-09,1.98E-09,1.10E-09,6.76E-10,4.68E-10,4.43E-10,4.97E-10
213,Ni-63,M,1.0E-01,2.54E-09,1.96E-09,1.15E-09,7.15E-10,5.41E-10,4.87E-10,5.43E-10
